date,t_c,td_c,hu,psl_hpa,ff,u,v,precip,n_obs
2016-01-01 00:00:00,6.74,3.72,81.3,1021.57,3.97,3.511,1.417,0.0,10
2016-01-01 01:00:00,6.23,3.13,80.6,1022.54,3.55,3.516,0.093,0.0,10
2016-01-01 02:00:00,5.3,2.8,83.9,1023.31,2.19,2.096,0.103,0.0,10
2016-01-01 03:00:00,4.09,2.41,88.9,1023.68,2.14,1.62,1.048,0.0,10
2016-01-01 04:00:00,3.1,1.78,91.1,1023.86,1.81,1.172,1.315,0.0,10
2016-01-01 05:00:00,2.79,1.47,91.0,1024.26,1.73,0.782,1.518,0.0,10
2016-01-01 06:00:00,1.81,0.75,92.7,1024.15,0.42,0.173,0.356,0.0,10
2016-01-01 07:00:00,1.47,0.63,94.3,1024.08,1.4,-0.708,1.172,0.0,10
2016-01-01 08:00:00,2.04,1.34,95.0,1024.2,1.83,-0.777,1.637,0.0,10
2016-01-01 09:00:00,3.689,2.656,93.0,1023.978,2.089,-1.339,1.584,0.0,9
2016-01-01 10:00:00,5.07,3.36,88.9,1023.37,2.84,-2.155,1.833,0.0,10
2016-01-01 11:00:00,6.56,4.57,87.1,1022.26,4.59,-3.58,2.859,0.0,10
2016-01-01 12:00:00,6.42,4.47,87.3,1021.26,5.72,-4.017,4.042,0.0,10
2016-01-01 13:00:00,6.2,4.94,91.7,1020.17,6.02,-3.605,4.797,0.0,10
2016-01-01 14:00:00,6.75,4.99,88.7,1018.86,5.74,-4.446,3.59,0.0,10
2016-01-01 15:00:00,6.92,5.02,88.0,1017.98,5.08,-3.955,3.128,0.0,10
2016-01-01 16:00:00,7.24,5.24,87.0,1017.33,5.22,-3.549,3.805,0.0,10
2016-01-01 17:00:00,6.97,5.19,88.6,1015.83,5.98,-4.709,3.661,0.0,10
2016-01-01 18:00:00,6.8,5.26,89.8,1014.47,6.85,-5.744,3.693,0.0,10
2016-01-01 19:00:00,7.01,5.47,89.8,1013.46,6.8,-5.433,4.051,0.0,10
2016-01-01 20:00:00,7.2,5.32,88.1,1012.57,6.12,-4.688,3.934,0.0,10
2016-01-01 21:00:00,7.14,4.96,86.1,1011.25,6.68,-5.242,4.115,0.0,10
2016-01-01 22:00:00,7.22,4.42,82.5,1010.04,6.51,-4.987,4.185,0.0,10
2016-01-01 23:00:00,7.3,4.42,82.1,1008.89,6.32,-4.225,4.679,0.0,10
2016-01-02 00:00:00,7.05,4.8,85.7,1008.3,5.51,-3.542,4.221,0.0,10
2016-01-02 01:00:00,6.76,5.24,90.1,1007.36,5.6,-3.87,4.02,0.6,10
2016-01-02 02:00:00,6.7,5.51,92.1,1006.37,6.12,-4.241,4.381,0.8,10
2016-01-02 03:00:00,6.7,5.57,92.7,1005.67,5.54,-3.97,3.835,0.2,10
2016-01-02 04:00:00,6.66,5.54,92.8,1005.0,5.17,-3.832,3.451,0.0,10
2016-01-02 05:00:00,6.71,5.51,92.0,1004.48,4.61,-2.963,3.531,0.0,10
