unidades,capas,dropout,l2,L,celda,id,mae_entre,rmse_entre,mae_valid,rmse_valid,epocas,mejor_epoca,parametros,segundos,etapa
64,1,0.0,0.0,72,SimpleRNN,SimpleRNN_u64_c1_d0.0_l20.0_L72,1.2658,1.6701,1.523,2.0333,22,14,6488,24.6,1_celda
64,1,0.0,0.0,72,LSTM,LSTM_u64_c1_d0.0_l20.0_L72,1.258,1.6333,1.6153,2.1528,13,5,21272,15.1,1_celda
64,1,0.0,0.0,72,GRU,GRU_u64_c1_d0.0_l20.0_L72,1.2931,1.6978,1.5249,2.0536,14,6,16536,14.0,1_celda
32,1,0.0,0.0,72,SimpleRNN,SimpleRNN_u32_c1_d0.0_l20.0_L72,1.2977,1.716,1.4543,1.9615,32,24,2232,32.5,2_tamano
32,2,0.0,0.0,72,SimpleRNN,SimpleRNN_u32_c2_d0.0_l20.0_L72,1.2225,1.6019,1.5331,2.0471,39,31,4312,64.5,2_tamano
64,2,0.0,0.0,72,SimpleRNN,SimpleRNN_u64_c2_d0.0_l20.0_L72,1.3141,1.728,1.5429,2.0363,15,7,14744,29.4,2_tamano
128,1,0.0,0.0,72,SimpleRNN,SimpleRNN_u128_c1_d0.0_l20.0_L72,1.3951,1.8351,1.6177,2.162,11,3,21144,14.7,2_tamano
128,2,0.0,0.0,72,SimpleRNN,SimpleRNN_u128_c2_d0.0_l20.0_L72,1.1069,1.446,1.6017,2.1468,17,9,54040,34.1,2_tamano
32,1,0.0,0.0001,72,SimpleRNN,SimpleRNN_u32_c1_d0.0_l20.0001_L72,1.3024,1.7226,1.455,1.9619,31,23,2232,35.9,3_regularizacion
32,1,0.2,0.0,72,SimpleRNN,SimpleRNN_u32_c1_d0.2_l20.0_L72,1.3576,1.8,1.5003,2.0203,43,35,2232,45.5,3_regularizacion
32,1,0.2,0.0001,72,SimpleRNN,SimpleRNN_u32_c1_d0.2_l20.0001_L72,1.3574,1.7998,1.5013,2.0212,43,35,2232,44.0,3_regularizacion
32,1,0.4,0.0,72,SimpleRNN,SimpleRNN_u32_c1_d0.4_l20.0_L72,1.3996,1.866,1.5211,2.0143,59,51,2232,57.2,3_regularizacion
32,1,0.4,0.0001,72,SimpleRNN,SimpleRNN_u32_c1_d0.4_l20.0001_L72,1.4006,1.8677,1.5209,2.0144,59,51,2232,58.9,3_regularizacion
32,1,0.0,0.0001,24,SimpleRNN,SimpleRNN_u32_c1_d0.0_l20.0001_L24,1.2586,1.6611,1.4806,1.9991,45,37,2232,33.2,4_ventana
32,1,0.0,0.0001,48,SimpleRNN,SimpleRNN_u32_c1_d0.0_l20.0001_L48,1.2276,1.6211,1.4398,1.9446,55,47,2232,45.0,4_ventana
32,1,0.0,0.0001,168,SimpleRNN,SimpleRNN_u32_c1_d0.0_l20.0001_L168,1.2601,1.6578,1.4358,1.9449,49,41,2232,81.6,4_ventana
